1,3.78,1138.44,446.82,54.23
1,8.5,1156.95,447.1,54.55
1,13.22,1174.66,446.89,54.71
1,18,1195.32,446.97,55.02
1,22.78,1183.61,446.7,55.08
1,27.51,1181.55,446.21,55.31
1,32.25,1214.02,446.33,55.31
1,37.11,1202.91,446.06,55.58
1,41.89,1229.86,445.83,55.97
1,46.63,1207.33,445.8,55.95
1,51.36,1262.54,445.76,55.99
1,56.12,1204.28,445.86,56.13
1,60.84,1237.23,445.05,55.95
1,65.57,1151.29,444.89,56.27
1,70.3,1156.59,444.95,56.24
1,75.04,1125.91,444.97,56.37
1,79.79,1163.51,444.94,56.71
1,84.53,1081.52,444.88,56.73
1,89.26,1135.3,444.94,57.01
1,94,1092.2,444.62,57.27
1,98.74,1073.65,444.51,57.33
1,103.47,1054.04,444.35,57.3
1,108.19,1050.65,444.64,57.46
1,112.93,1044.66,444.71,57.55
1,117.65,1071.35,444.55,57.46
1,122.38,1050.66,444.61,57.38
1,127.09,1030.87,444.7,57.66
1,131.84,997.9,444.69,57.93
1,136.56,1056.02,444.88,57.99
1,141.29,1039.84,445.01,58.17
1,146.02,1065.68,444.61,58.19
1,150.74,1094.88,444.82,58.35
1,155.47,1067.43,444.73,58.51
1,160.2,1079.48,444.57,58.38
1,164.92,1059.43,444.45,58.58
1,169.66,1047.57,444.73,58.6
1,174.47,1034.95,445,58.64
1,179.2,1110.18,444.84,58.59
1,183.92,1130.53,444.8,58.47
1,188.64,1111.17,445.05,58.83
1,193.39,1079.67,444.99,58.76
1,198.19,1049.32,444.95,58.84
1,202.92,1122.9,445.2,58.85
1,207.64,1079.82,444.96,58.91
1,212.36,1116.37,445.1,59.1
1,217.1,1113.85,445.06,59.17
1,221.83,1134.39,445.61,59.38
1,226.61,1138.34,445.22,59.48
1,231.33,1126.74,445.31,59.41
1,236.08,1101.9,445.22,59.5
1,240.82,1108.79,445.21,59.61
1,245.55,1139.24,445.26,59.82
1,250.28,1176.26,445.41,59.67
1,255.01,1167.14,445.38,59.92
1,259.75,1136.86,445.5,59.88
1,264.46,1123.42,445.47,60.05
1,269.19,1155.54,445.45,60.02
1,273.92,1181.29,445.21,60.16
1,278.68,1191.18,445.31,60.26
1,283.4,1182.12,445.23,60.43
1,288.12,1161.68,445.03,60.59
1,292.87,1178.19,445.15,60.69
1,297.6,1188.4,445.06,60.72
1,302.33,1180.9,445.33,61.05
1,307.11,1156.59,445.27,60.9
1,311.87,1155.91,445.43,61.02
1,316.58,1157.5,445.36,61.13
1,321.3,1185.86,445.5,61.23
1,326.09,1164.06,445.59,61.31
1,330.81,1160.02,445.49,61.25
1,335.54,1131.5,445.64,61.38
1,340.27,1183.23,445.42,61.42
1,345.06,1211.44,445.22,61.49
1,349.8,1230.97,445.11,61.48
1,354.55,1230.55,445.54,61.7
1,359.28,1220.1,445.34,61.78
1,364.01,1221.57,445.31,61.82
1,368.74,1215.85,445.43,61.9
1,373.47,1242.94,445.47,61.9
1,378.23,1205.26,445.61,62.07
1,382.96,1206.05,445.47,62.16
1,387.69,1212.64,445.48,62.07
1,392.41,1170.77,445.83,62.26
1,397.14,1224.91,445.96,62.3
1,401.9,1193.68,445.89,62.18
1,406.63,1183.78,445.94,62.36
1,411.35,1180.82,445.99,62.3
1,416.14,1199.45,445.86,62.23
1,420.87,1200.53,445.91,62.29
1,425.59,1166.54,446.05,62.36
